192.168.1.198 - - [04/Jan/2015:10:33:59 +0800] "GET / HTTP/1.1" 404 951
192.168.1.198 - - [04/Jan/2015:10:34:21 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:23 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:23 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:24 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:24 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:24 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:24 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:34:25 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:36:38 +0800] "GET /JQM HTTP/1.1" 302 -
192.168.1.198 - - [04/Jan/2015:10:36:38 +0800] "GET /JQM/ HTTP/1.1" 304 -
192.168.1.198 - - [04/Jan/2015:10:36:45 +0800] "GET /JQM/DEMO HTTP/1.1" 404 967
192.168.1.198 - - [04/Jan/2015:10:36:55 +0800] "GET /JQM/demo/index.html HTTP/1.1" 404 989
192.168.1.198 - - [04/Jan/2015:10:37:06 +0800] "GET /JQM/demos/index.html HTTP/1.1" 200 57243
192.168.1.198 - - [04/Jan/2015:10:37:07 +0800] "GET /JQM/demos/_assets/css/jqm-demos.css HTTP/1.1" 200 16061
192.168.1.198 - - [04/Jan/2015:10:37:07 +0800] "GET /JQM/demos/_assets/js/index.js HTTP/1.1" 200 53933
192.168.1.198 - - [04/Jan/2015:10:37:07 +0800] "GET /JQM/demos/js/jquery.mobile-1.4.5.min.js HTTP/1.1" 200 200143
192.168.1.198 - - [04/Jan/2015:10:37:07 +0800] "GET /JQM/demos/_assets/img/jquery-logo.png HTTP/1.1" 200 12351
