what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420340824193
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420340829874
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.undo",1420340830362
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420340831628
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420340833096
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420340873706
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420340876772
started,bundle,com.adobe.flexbuilder.css.editor,4.7.0.349722,"com.adobe.flexbuilder.css.editor",1420340888147
opened,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420340888335
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420340888413
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1420340891663
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420340893253
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420340895315
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420340896299
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341241460
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420341244069
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420341246132
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420341248798
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420341258347
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341260612
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341287412
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341289333
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341459449
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420341461189
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.selectAll",1420341461814
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420341462549
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420341463049
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341464627
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341492552
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420341492568
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420341512351
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341513940
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341554199
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420341563574
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341567496
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341591515
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341642147
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341642241
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341644366
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341651476
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341652367
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420341669776
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420341669791
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342022146
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342567551
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342571609
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342573108
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342573843
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342575171
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420342621179
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342626867
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342630778
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342661406
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342670842
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342677982
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342687203
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342821618
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342831347
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342850985
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342856305
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342881702
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342882811
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342883156
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342939280
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342946530
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342954582
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420342954598
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420342963361
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420342974308
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343108676
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343116456
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343169908
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343177835
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343183477
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420343188426
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420343202002
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343210023
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343218399
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343222131
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420343252183
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420348628970
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349223662
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349224162
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349527324
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349556910
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349584960
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420349586101
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420349618791
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349620041
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349628276
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1420349631338
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420349635073
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420349635369
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420349638041
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420350593620
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420350595197
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420352206468
activated,editor,org.eclipse.wst.html.ui,1.0.702.v201211262010,"org.eclipse.wst.html.core.htmlsource.source",1420352208338
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420352209049
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420352720918
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420352722344
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420352940916
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1420352978525
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420352979482
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420352980180
